catkey	sourceID	druid
	sul:ars_0163_36105225783096	ww627mg3287
	sul:ars_0163_36105225782601	by999dk9929
	sul:ars_0163_36105225782734	fr239vm0948
	sul:ars_0163_36105225784177	yn137rt9938
	sul:ars_0163_36105225781736	kp368nb7707
	sul:ars_0163_36105225782874	fd660zf8362
	sul:ars_0163_36105225783724	dx555xv9093
	sul:ars_0163_36105225781512	vy941zv8672
	sul:ars_0163_36105225782221	xc665jf8254
	sul:ars_0163_36105225781629	hn488rk0690
	sul:ars_0163_36105225783732	yb187qn0290
	sul:ars_0163_36105225782122	hh095vc8073
	sul:ars_0163_36105225782841	sb158jt0685
	sul:ars_0163_36105225780308	bs173rx9307
	sul:ars_0163_36105225781231	sr504pc8797
	sul:ars_0163_36105225781389	mf443ns5829
	sul:ars_0163_36105225781306	ky445sz4630
	sul:ars_0163_36105225781009	yj598pj2879
	sul:ars_0163_36105225780209	pb477ps9097
	sul:ars_0163_36105225789333	rd899zb5188
	sul:ars_0163_36105225788574	ct503bz7189
	sul:ars_0163_36105225787808	bk297ff8944
	sul:ars_0163_36105225787915	jg196tw1757
	sul:ars_0163_36105225787865	kf903tz5142
	sul:ars_0163_36105225787592	sn610pr8684
	sul:ars_0163_36105225787584	mw870hc7232
	sul:ars_0163_36105225788244	qd424rx3516
	sul:ars_0163_36105225787295	ty382mw3181
	sul:ars_0163_36105225787410	gm296rz0673
	sul:ars_0163_36105225787477	rb861vm6094
	sul:ars_0163_36105225787329	jk842rg9750
	sul:ars_0163_36105225787469	tq268fs9721
	sul:ars_0163_36105225787238	zc118hn1152
	sul:ars_0163_36105225787196	fk960pq3086
	sul:ars_0163_36105225785448	jb107tz1859
	sul:ars_0163_36105225785430	ds710xd1794
	sul:ars_0163_36105225784888	ym117yd8356
	sul:ars_0163_36105225784508	fz215xr4723
	sul:ars_0163_36105225785042	bf074nj8801
	sul:ars_0163_36105225784268	tp302mb4101
	sul:ars_0163_36105225781199	kg263bn9176
	sul:ars_0163_36105225785083	dw559kr7002
	sul:ars_0163_36105225782130	dj406yq6980
	sul:ars_0163_36105225788194	sg713kb1834
	sul:ars_0163_36105225785232	pv279zy5193
	sul:ars_0163_36105225786453	my670qk6863
	sul:ars_0163_36105225786586	dn562zk3294
	sul:ars_0163_36105225788426	zw110xw1693
problem case where two druids have same catkey:
11347974	ps931qh5746
11347974	vw531zy4220
